id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
b8af2816b86249618a4ed6efbc9ccbd3/7678/2025-10-01 19:15:00/2025-10-01 19:20:06/""/1/"D107"/"7352.5"/"5882.0"/"16.53"/"528"/
70391b17733345f5aa72e3a69d4d2b94/7678/2025-10-01 19:00:00/2025-10-01 19:05:11/""/1/"D107"/"7315.8"/"5852.64"/"16.44"/"527"/
f1fd3047f593424a9117f2303e5d2c42/7678/2025-10-01 18:45:00/2025-10-01 18:50:06/""/1/"D107"/"7316.0"/"5852.8"/"16.45"/"526"/
1be431c9647e47c799cae34078b10390/7678/2025-10-01 18:30:00/2025-10-01 18:35:11/""/1/"D107"/"7308.8"/"5847.04"/"16.43"/"525"/
c80bc285fd2c454b8d51498178d60ea0/7678/2025-10-01 18:15:00/2025-10-01 18:20:06/""/1/"D107"/"7326.3"/"5861.04"/"16.47"/"524"/
ccd1c861fada4739ab0e6084d235a0fc/7678/2025-10-01 18:00:00/2025-10-01 18:05:11/""/1/"D107"/"7308.9"/"5847.12"/"16.43"/"523"/
544a7d253f594abfa9468c94cb8a5eb6/7678/2025-10-01 17:45:00/2025-10-01 17:50:06/""/1/"D107"/"7314.3"/"5851.44"/"16.44"/"522"/
02f5297f938d4433ac68ff8cf6a683ed/7678/2025-10-01 17:30:00/2025-10-01 17:35:06/""/1/"D107"/"7315.4"/"5852.32"/"16.44"/"521"/
75ee3883077e4171bd33d5cdf8945ce8/7678/2025-10-01 17:15:00/2025-10-01 17:20:01/""/1/"D107"/"7338.6"/"5870.88"/"16.50"/"520"/
4fdb84a2af414461a92021559c281f21/7678/2025-10-01 17:00:00/2025-10-01 17:05:06/""/1/"D107"/"7307.3"/"5845.84"/"16.43"/"519"/
82e6ccc266de44bbb77c7c3b3460bdc2/7678/2025-10-01 16:45:00/2025-10-01 16:50:06/""/1/"D107"/"7314.7"/"5851.76"/"16.44"/"518"/
7b752b6c204a45efb5760ac3f544a5fb/7678/2025-10-01 16:30:00/2025-10-01 16:35:06/""/1/"D107"/"7312.6"/"5850.08"/"16.44"/"517"/
45190b43c7b84826a8aeabcbd48a908e/7678/2025-10-01 16:15:00/2025-10-01 16:20:11/""/1/"D107"/"7320.9"/"5856.72"/"16.46"/"516"/
9ebbb2605926494b9cdce206a6dd3226/7678/2025-10-01 16:00:00/2025-10-01 16:05:06/""/1/"D107"/"7320.6"/"5856.48"/"16.46"/"515"/
f0c0128783f8476881bab0df17e20563/7678/2025-10-01 15:45:00/2025-10-01 15:50:11/""/1/"D107"/"7320.9"/"5856.72"/"16.46"/"514"/
1b1cbbab7b1c459cb9a46f0b9045ffab/7678/2025-10-01 15:30:00/2025-10-01 15:35:06/""/1/"D107"/"7320.7"/"5856.56"/"16.46"/"513"/
684c4b4fa0454eee8dce44d3a75c72e2/7678/2025-10-01 15:15:00/2025-10-01 15:20:06/""/1/"D107"/"7322.3"/"5857.84"/"16.46"/"512"/
4ae71d48c144473baa0eeda374201ce6/7678/2025-10-01 15:00:00/2025-10-01 15:05:11/""/1/"D107"/"7369.7"/"5895.76"/"16.57"/"511"/
ba2945474e864ee4a2e8d1c712fa97f7/7678/2025-10-01 14:45:00/2025-10-01 14:50:01/""/1/"D107"/"7357.9"/"5886.32"/"16.54"/"510"/
5d35919f936f4657b76f23c132f746b5/7678/2025-10-01 14:30:00/2025-10-01 14:34:56/""/1/"D107"/"7415.4"/"5932.32"/"16.67"/"509"/
4ed440c3adf54c9b8b45e4fda0bd569d/7678/2025-10-01 14:15:00/2025-10-01 14:20:06/""/1/"D107"/"7405.5"/"5924.4"/"16.65"/"508"/
43e6b91af18e46579afc9e543b1b204b/7678/2025-10-01 14:00:00/2025-10-01 14:05:01/""/1/"D107"/"7430.2"/"5944.16"/"16.70"/"507"/
a17455f79288435f9f8de241c319b399/7678/2025-10-01 13:45:00/2025-10-01 13:50:06/""/1/"D107"/"7421.1"/"5936.88"/"16.68"/"506"/
034187b25e6d4c4f817dbfa6d0ae854a/7678/2025-10-01 13:30:00/2025-10-01 13:35:06/""/1/"D107"/"7391.1"/"5912.88"/"16.61"/"505"/
83d06bc1a5ea43a19e414811f3ffe0fc/7678/2025-10-01 13:15:00/2025-10-01 13:20:01/""/1/"D107"/"7439.5"/"5951.6"/"16.72"/"504"/
ee11c437fe6544759fa18a945b1cd565/7678/2025-10-01 13:00:00/2025-10-01 13:05:38/""/1/"D107"/"7390.7"/"5912.56"/"16.61"/"503"/
e83425b3ad984f2fba3c0088bd0a4312/7678/2025-10-01 12:45:00/2025-10-01 12:50:11/""/1/"D107"/"7397.9"/"5918.32"/"16.63"/"502"/
7df71f62fb274de9b8576205b04a4e01/7678/2025-10-01 12:30:00/2025-10-01 12:35:06/""/1/"D107"/"7416.4"/"5933.12"/"16.67"/"501"/
68131b4bb67343d8bc2a80ae9397babf/7678/2025-10-01 12:15:00/2025-10-01 12:20:06/""/1/"D107"/"7394.5"/"5915.6"/"16.62"/"500"/
b0a25d9872d94054bfbad536550f5874/7678/2025-10-01 12:00:00/2025-10-01 12:05:11/""/1/"D107"/"7384.9"/"5907.92"/"16.60"/"499"/
3fff2dc498064d90b52283330cdbb451/7678/2025-10-01 11:45:00/2025-10-01 11:50:06/""/1/"D107"/"7393.6"/"5914.88"/"16.62"/"498"/
e91756aac84d4d599e3800a1b98bbbab/7678/2025-10-01 11:30:00/2025-10-01 11:35:06/""/1/"D107"/"7416.0"/"5932.8"/"16.67"/"497"/
ffdcc08e576c4b70a1f5c739c1890747/7678/2025-10-01 11:15:00/2025-10-01 11:20:06/""/1/"D107"/"7395.1"/"5916.08"/"16.62"/"496"/
8c86102b4b3d480b87e068e8f01382f0/7678/2025-10-01 11:00:00/2025-10-01 11:05:06/""/1/"D107"/"7409.3"/"5927.44"/"16.66"/"495"/
dc419751eeca4aaa8a1ab72e82ff33a2/7678/2025-10-01 10:45:00/2025-10-01 10:49:41/""/1/"D107"/"7396.5"/"5917.2"/"16.63"/"494"/
b5a06b9b80894b8282d9370af5271878/7678/2025-10-01 10:30:00/2025-10-01 10:34:31/""/1/"D107"/"7427.8"/"5942.24"/"16.70"/"493"/
74a52848f32647b488f95b1edd004480/7678/2025-10-01 10:15:00/2025-10-01 10:20:11/""/1/"D107"/"7435.8"/"5948.64"/"16.71"/"492"/
970b1a4e6bfa434ab690b59337a16348/7678/2025-10-01 10:00:00/2025-10-01 10:05:11/""/1/"D107"/"7458.4"/"5966.72"/"16.77"/"491"/
0f33b66b3b3e4be89ac64f8da16942cc/7678/2025-10-01 09:45:00/2025-10-01 09:50:11/""/1/"D107"/"7403.0"/"5922.4"/"16.64"/"490"/
bf43ebb1c45a4d8ea0e7d7ff845c5b8e/7678/2025-10-01 09:30:00/2025-10-01 09:34:51/""/1/"D107"/"7481.3"/"5985.04"/"16.82"/"489"/
f41f98686bf2412094fc97d598ac1f71/7678/2025-10-01 09:15:00/2025-10-01 09:20:01/""/1/"D107"/"7462.8"/"5970.24"/"16.77"/"488"/
694366c88c6e411ab66462ae54b988ca/7678/2025-10-01 09:00:00/2025-10-01 09:05:11/""/1/"D107"/"7432.1"/"5945.68"/"16.71"/"487"/
551fa5facdf44d0bb52f72a2d6263927/7678/2025-10-01 08:45:00/2025-10-01 08:50:06/""/1/"D107"/"7436.6"/"5949.28"/"16.72"/"486"/
5c7024ac4db644a39cd8a02138bb0e1f/7678/2025-10-01 08:30:00/2025-10-01 08:35:11/""/1/"D107"/"7447.0"/"5957.6"/"16.74"/"485"/
0824b432eff447c59aec322c83586bac/7678/2025-10-01 08:15:00/2025-10-01 08:20:06/""/1/"D107"/"7483.6"/"5986.88"/"16.82"/"484"/
b0cfe019bc994ef197be0f99fdcba2fe/7678/2025-10-01 08:00:00/2025-10-01 08:04:56/""/1/"D107"/"7493.3"/"5994.64"/"16.84"/"483"/
458adcfd5aab497496082da61dad648a/7678/2025-10-01 07:45:00/2025-10-01 07:50:11/""/1/"D107"/"7451.8"/"5961.44"/"16.75"/"482"/
0f4e037f9ea243d58c28a1b00376552f/7678/2025-10-01 07:30:00/2025-10-01 07:35:11/""/1/"D107"/"7461.6"/"5969.28"/"16.77"/"481"/
bd849049653945988754de92736be510/7678/2025-10-01 07:15:00/2025-10-01 07:20:11/""/1/"D107"/"7450.8"/"5960.64"/"16.75"/"480"/
cb89c20b042d400cab8db38030cc1675/7678/2025-10-01 07:00:00/2025-10-01 07:05:11/""/1/"D107"/"7449.0"/"5959.2"/"16.74"/"479"/
99dd5837f6494902b4802c9cf7f0c439/7678/2025-10-01 06:45:00/2025-10-01 06:50:06/""/1/"D107"/"7454.7"/"5963.76"/"16.76"/"478"/
67a73145fde34bf49ff115385adfa885/7678/2025-10-01 06:30:00/2025-10-01 06:35:11/""/1/"D107"/"7473.5"/"5978.8"/"16.80"/"477"/
5e373b2d5ab8467aab32183a3c0d51a8/7678/2025-10-01 06:15:00/2025-10-01 06:20:11/""/1/"D107"/"7500.0"/"6000.0"/"16.86"/"476"/
e510599f07fb41db9f32e741a1c70573/7678/2025-10-01 06:00:00/2025-10-01 06:05:06/""/1/"D107"/"7474.4"/"5979.52"/"16.80"/"475"/
115a4f615938488197aa3c1366635134/7678/2025-10-01 05:45:00/2025-10-01 05:50:06/""/1/"D107"/"7494.0"/"5995.2"/"16.84"/"474"/
b0837e79cdfe441f8387dfcfcb3eab86/7678/2025-10-01 05:30:00/2025-10-01 05:35:06/""/1/"D107"/"7497.3"/"5997.84"/"16.85"/"473"/
56d5a8aa9b0243069b32892fa471bad7/7678/2025-10-01 05:15:00/2025-10-01 05:20:06/""/1/"D107"/"7497.6"/"5998.08"/"16.85"/"472"/
60d950ea40c94e1c86d6a5c54a5f8d34/7678/2025-10-01 05:00:00/2025-10-01 05:05:06/""/1/"D107"/"7509.4"/"6007.52"/"16.88"/"471"/
167c711c12ef4192a273d7f15684e780/7678/2025-10-01 04:45:00/2025-10-01 04:50:01/""/1/"D107"/"7512.4"/"6009.92"/"16.89"/"470"/
42337b4a09ed44ebb8527720c2a2c912/7678/2025-10-01 04:30:00/2025-10-01 04:35:06/""/1/"D107"/"7481.2"/"5984.96"/"16.82"/"469"/
f08545c25e47450d970fa3bf5e0801b0/7678/2025-10-01 04:15:00/2025-10-01 04:20:06/""/1/"D107"/"7485.6"/"5988.48"/"16.83"/"468"/
a49fc39035bc4105899f3f9c93af1054/7678/2025-10-01 04:00:00/2025-10-01 04:05:06/""/1/"D107"/"7482.9"/"5986.32"/"16.82"/"467"/
f2b773fb42354ff6a4146ea2f0dc99e8/7678/2025-10-01 03:45:00/2025-10-01 03:50:01/""/1/"D107"/"7498.3"/"5998.64"/"16.86"/"466"/
