id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
fb2bd2cdcba54a409226e0ac14cfe3ba/7678/2025-09-27 13:15:00/2025-09-27 13:20:11/""/1/"D107"/"8306.2"/"6644.96"/"18.67"/"122"/
6f47eecdd5294207bfaa5339b4ce0a79/7678/2025-09-27 13:00:00/2025-09-27 13:05:11/""/1/"D107"/"8304.7"/"6643.76"/"18.67"/"121"/
4d3bd104300d4f22bfa463160603841f/7678/2025-09-27 12:45:00/2025-09-27 12:50:11/""/1/"D107"/"8304.9"/"6643.92"/"18.67"/"120"/
2bac4ca05dd4496ba5e0f1ea2e964d04/7678/2025-09-27 12:30:00/2025-09-27 12:35:16/""/1/"D107"/"8306.6"/"6645.28"/"18.67"/"119"/
00d8c0033b5e4ef79120c90a5654bd37/7678/2025-09-27 12:15:00/2025-09-27 12:20:16/""/1/"D107"/"8312.2"/"6649.76"/"18.68"/"118"/
b21db27e7cc64159a33306675c14d672/7678/2025-09-27 12:00:00/2025-09-27 12:05:11/""/1/"D107"/"8308.8"/"6647.04"/"18.68"/"117"/
d95fb1c48b2047f99660966b31deef79/7678/2025-09-27 11:45:00/2025-09-27 11:50:11/""/1/"D107"/"8311.1"/"6648.88"/"18.68"/"116"/
5c4376b0c70e4a0b8c7ae1714f9f4baa/7678/2025-09-27 11:30:00/2025-09-27 11:35:11/""/1/"D107"/"8321.3"/"6657.04"/"18.70"/"115"/
f66e5c86e0e745a9b7c0b07aa0e2998e/7678/2025-09-27 11:15:00/2025-09-27 11:20:11/""/1/"D107"/"8336.5"/"6669.2"/"18.74"/"114"/
bf2f0bfef60a44bdac7ac24daa52db8c/7678/2025-09-27 11:00:00/2025-09-27 11:05:11/""/1/"D107"/"8323.0"/"6658.4"/"18.71"/"113"/
870e54570fd14f76b6d17e12e3188d6b/7678/2025-09-27 10:45:00/2025-09-27 10:50:16/""/1/"D107"/"8327.0"/"6661.6"/"18.72"/"112"/
22babf3237af4c4db61b5ecf9467f4aa/7678/2025-09-27 10:30:00/2025-09-27 10:35:11/""/1/"D107"/"8326.9"/"6661.52"/"18.72"/"111"/
5cc36bbc8e0e4ab09d9c79bae26d50c0/7678/2025-09-27 10:15:00/2025-09-27 10:20:16/""/1/"D107"/"8325.5"/"6660.4"/"18.71"/"110"/
d9c271305a664148bb89f79ed135845b/7678/2025-09-27 10:00:00/2025-09-27 10:05:06/""/1/"D107"/"8384.2"/"6707.36"/"18.85"/"109"/
711a8221b88246988375247dfe36afc1/7678/2025-09-27 09:45:00/2025-09-27 09:50:11/""/1/"D107"/"8346.7"/"6677.36"/"18.76"/"108"/
4c5b4fbcd7274658bfc5387e8fea5e95/7678/2025-09-27 09:30:00/2025-09-27 09:35:11/""/1/"D107"/"8350.0"/"6680.0"/"18.77"/"107"/
302ef4e5bd44410ea09a82825ac65b77/7678/2025-09-27 09:15:00/2025-09-27 09:20:06/""/1/"D107"/"8345.1"/"6676.08"/"18.76"/"106"/
184542dc52664c628f9c78f637973d4f/7678/2025-09-27 09:00:00/2025-09-27 09:05:11/""/1/"D107"/"8371.6"/"6697.28"/"18.82"/"105"/
da1014fcf49c4321b024c2c4780bd985/7678/2025-09-27 08:45:00/2025-09-27 08:50:11/""/1/"D107"/"8351.9"/"6681.52"/"18.77"/"104"/
c67b4674d28546bf9d647d5b6d1f60dd/7678/2025-09-27 08:30:00/2025-09-27 08:35:16/""/1/"D107"/"8349.0"/"6679.2"/"18.77"/"103"/
125ed74499014407a74a061153dda3a7/7678/2025-09-27 08:15:00/2025-09-27 08:20:11/""/1/"D107"/"8350.4"/"6680.32"/"18.77"/"102"/
d554070250314c57b75d9106ad7fa9a5/7678/2025-09-27 08:00:00/2025-09-27 08:05:06/""/1/"D107"/"8375.2"/"6700.16"/"18.83"/"101"/
8816e07558854b52bfbb025525a495ea/7678/2025-09-27 07:45:00/2025-09-27 07:50:16/""/1/"D107"/"8383.7"/"6706.96"/"18.84"/"100"/
f281c0f6e1d64d97aa604a36974dc148/7678/2025-09-27 07:30:00/2025-09-27 07:35:16/""/1/"D107"/"8350.4"/"6680.32"/"18.77"/"99"/
2fb05cd8796549ffa351f4434cea68c8/7678/2025-09-27 07:15:00/2025-09-27 07:20:11/""/1/"D107"/"8352.8"/"6682.24"/"18.78"/"98"/
23aa8f826cb4461ab96240fb83b23289/7678/2025-09-27 07:00:00/2025-09-27 07:05:16/""/1/"D107"/"8354.8"/"6683.84"/"18.78"/"97"/
86bc666a66dd4437885ed7f567c7e3f7/7678/2025-09-27 06:45:00/2025-09-27 06:50:01/""/1/"D107"/"8392.0"/"6713.6"/"18.86"/"96"/
582a645de55549f38a5344e0acecb3af/7678/2025-09-27 06:30:00/2025-09-27 06:35:11/""/1/"D107"/"8373.4"/"6698.72"/"18.82"/"95"/
9a2716a379304c1c9cf45ad207707baf/7678/2025-09-27 06:15:00/2025-09-27 06:20:11/""/1/"D107"/"8395.5"/"6716.4"/"18.87"/"94"/
03753161433f4da889bdad1dd10a2476/7678/2025-09-27 06:00:00/2025-09-27 06:05:11/""/1/"D107"/"8362.9"/"6690.32"/"18.80"/"93"/
8d83a157f239436288fa03d84af5e0d0/7678/2025-09-27 05:45:00/2025-09-27 05:50:11/""/1/"D107"/"8358.9"/"6687.12"/"18.79"/"92"/
527342d4d2cd4324a9346b17578458cc/7678/2025-09-27 05:30:00/2025-09-27 05:35:11/""/1/"D107"/"8362.8"/"6690.24"/"18.80"/"91"/
38e8a581829e42ddb97026c8cb0ed6ef/7678/2025-09-27 05:15:00/2025-09-27 05:20:16/""/1/"D107"/"8360.3"/"6688.24"/"18.79"/"90"/
7403db74c8e447b49e397b958dd9617c/7678/2025-09-27 05:00:00/2025-09-27 05:05:11/""/1/"D107"/"8361.2"/"6688.96"/"18.79"/"89"/
5d2fddc6a3b44ce99b9402afe6c2ddf5/7678/2025-09-27 04:45:00/2025-09-27 04:50:11/""/1/"D107"/"8399.3"/"6719.44"/"18.88"/"88"/
1e8723865f1c41b5a705fc3566ffc51c/7678/2025-09-27 04:30:00/2025-09-27 04:35:01/""/1/"D107"/"8393.0"/"6714.4"/"18.87"/"87"/
1705f29328364d3f9bb55ed974f3594e/7678/2025-09-27 04:15:00/2025-09-27 04:20:11/""/1/"D107"/"8388.4"/"6710.72"/"18.86"/"86"/
b4c299fa62514c2ab349347846ac29c0/7678/2025-09-27 04:00:00/2025-09-27 04:05:11/""/1/"D107"/"8389.8"/"6711.84"/"18.86"/"85"/
6c39151f64f043df861c734caa25db6a/7678/2025-09-27 03:45:00/2025-09-27 03:50:16/""/1/"D107"/"8392.9"/"6714.32"/"18.87"/"84"/
385bccafd9cd496295d4748893cee17c/7678/2025-09-27 03:30:00/2025-09-27 03:35:11/""/1/"D107"/"8396.0"/"6716.8"/"18.87"/"83"/
0344e80e462f4dd7ad55e5e9de656323/7678/2025-09-27 03:15:00/2025-09-27 03:20:11/""/1/"D107"/"8388.7"/"6710.96"/"18.86"/"82"/
1172bbe574f8437ca158058999996bfe/7678/2025-09-27 03:00:00/2025-09-27 03:04:56/""/1/"D107"/"8448.8"/"6759.04"/"18.99"/"81"/
f9ea6e176b0a42adb85754e89cd95702/7678/2025-09-27 02:45:00/2025-09-27 02:50:11/""/1/"D107"/"8394.9"/"6715.92"/"18.87"/"80"/
c91634be37354d29ad791596f92e4bed/7678/2025-09-27 02:30:00/2025-09-27 02:35:16/""/1/"D107"/"8394.3"/"6715.44"/"18.87"/"79"/
d2d6a4bd63a54286ac597ccb4e78c67f/7678/2025-09-27 02:15:00/2025-09-27 02:20:11/""/1/"D107"/"8453.0"/"6762.4"/"19.00"/"78"/
ad60c64863634e1eacd684c8b232d2d9/7678/2025-09-27 02:00:00/2025-09-27 02:05:16/""/1/"D107"/"8420.2"/"6736.16"/"18.93"/"77"/
858553bb92a441f480c9dd358e4e4cf8/7678/2025-09-27 01:45:00/2025-09-27 01:50:16/""/1/"D107"/"8420.6"/"6736.48"/"18.93"/"76"/
b5d1947e3e0a4b1ca7afe55c9bf395e3/7678/2025-09-27 01:30:00/2025-09-27 01:35:11/""/1/"D107"/"8427.8"/"6742.24"/"18.94"/"75"/
fbfe914ce6e9401192126957a53cdef4/7678/2025-09-27 01:15:00/2025-09-27 01:20:11/""/1/"D107"/"8426.1"/"6740.88"/"18.94"/"74"/
e19bc1c38c974da592791ede768fe0f8/7678/2025-09-27 01:00:00/2025-09-27 01:05:21/""/1/"D107"/"8447.9"/"6758.32"/"18.99"/"73"/
4409f7aa8d5e43ba94eb478356443afe/7678/2025-09-27 00:45:00/2025-09-27 00:50:16/""/1/"D107"/"8435.3"/"6748.24"/"18.96"/"72"/
80763d922f504b609234f8a39b8d6ab8/7678/2025-09-27 00:30:00/2025-09-27 00:35:11/""/1/"D107"/"8446.7"/"6757.36"/"18.99"/"71"/
7cc0c27620d34d528f56923f9d6d0664/7678/2025-09-27 00:15:00/2025-09-27 00:20:16/""/1/"D107"/"8431.3"/"6745.04"/"18.95"/"70"/
83ae5199371842938eabbb24fb742b63/7678/2025-09-27 00:00:00/2025-09-27 00:05:16/""/1/"D107"/"8439.0"/"6751.2"/"18.97"/"69"/
32da1dd8b94246b89f9afc0da9aeb37d/7678/2025-09-26 23:45:00/2025-09-26 23:50:16/""/1/"D107"/"8445.3"/"6756.24"/"18.98"/"68"/
76a008fb2b434afb86bc3544ff5d6bb6/7678/2025-09-26 23:30:00/2025-09-26 23:35:16/""/1/"D107"/"8475.3"/"6780.24"/"19.05"/"67"/
07b11e0ca1974b8390c494dfa7e1beba/7678/2025-09-26 23:15:00/2025-09-26 23:20:16/""/1/"D107"/"8491.7"/"6793.36"/"19.09"/"66"/
e498f4ab000e487a8f6231c44badbf86/7678/2025-09-26 23:00:00/2025-09-26 23:05:06/""/1/"D107"/"8498.8"/"6799.04"/"19.10"/"65"/
040ee78e31754e5db1cd2d741909bdad/7678/2025-09-26 22:45:00/2025-09-26 22:50:16/""/1/"D107"/"8474.0"/"6779.2"/"19.05"/"64"/
bbf4f509cc6e4e83b8990ccf3edca710/7678/2025-09-26 22:30:00/2025-09-26 22:35:16/""/1/"D107"/"8477.9"/"6782.32"/"19.06"/"63"/
9d495d034d664db7b40502105f175c51/7678/2025-09-26 22:15:00/2025-09-26 22:20:16/""/1/"D107"/"8486.3"/"6789.04"/"19.07"/"62"/
6045dfcb830b44d982f1ec39d2f4a9b9/7678/2025-09-26 22:00:00/2025-09-26 22:05:16/""/1/"D107"/"8491.2"/"6792.96"/"19.09"/"61"/
da3a8b1e9e5b4a799044d3fc7c5611c2/7678/2025-09-26 21:45:00/2025-09-26 21:50:06/""/1/"D107"/"8494.3"/"6795.44"/"19.09"/"60"/
1307fdf18a0d430b9eec0678245f30cd/7678/2025-09-26 21:30:00/2025-09-26 21:35:21/""/1/"D107"/"8534.4"/"6827.52"/"19.18"/"59"/
7b64cd1505194fd89344479dd2e4cbe5/7678/2025-09-26 21:15:00/2025-09-26 21:20:16/""/1/"D107"/"8498.9"/"6799.12"/"19.10"/"58"/
bf0564ef76654f4aac519002c0acbfa0/7678/2025-09-26 21:00:00/2025-09-26 21:05:16/""/1/"D107"/"8529.9"/"6823.92"/"19.17"/"57"/
16ef3cf6e3404a2ab82fa5941534845f/7678/2025-09-26 20:45:00/2025-09-26 20:50:11/""/1/"D107"/"8534.0"/"6827.2"/"19.18"/"56"/
6ab572d2da1c419c8e08cd37268326d1/7678/2025-09-26 20:30:00/2025-09-26 20:35:11/""/1/"D107"/"8568.5"/"6854.8"/"19.26"/"55"/
9bf796aa673e4b6c9e7a2b7847de02dd/7678/2025-09-26 20:15:00/2025-09-26 20:20:16/""/1/"D107"/"8535.1"/"6828.08"/"19.18"/"54"/
60cc7831c7da4de58496396bdbefe592/7678/2025-09-26 20:00:00/2025-09-26 20:05:11/""/1/"D107"/"8545.5"/"6836.4"/"19.21"/"53"/
e9827992f6e24a64b302639ff0554729/7678/2025-09-26 19:45:00/2025-09-26 19:50:16/""/1/"D107"/"8536.1"/"6828.88"/"19.19"/"52"/
ef6649632804466db4d4b9cb78a85e34/7678/2025-09-26 19:30:00/2025-09-26 19:35:16/""/1/"D107"/"8546.1"/"6836.88"/"19.21"/"51"/
d26ebf93a0984dae8e4811f3849f2f65/7678/2025-09-26 19:15:00/2025-09-26 19:20:11/""/1/"D107"/"8577.7"/"6862.16"/"19.28"/"50"/
faa78fbff8a34aa7aacab69187353995/7678/2025-09-26 19:00:00/2025-09-26 19:05:16/""/1/"D107"/"8539.1"/"6831.28"/"19.19"/"49"/
5d2861220e45489e9ce71adba72e1ee8/7678/2025-09-26 18:45:00/2025-09-26 18:50:16/""/1/"D107"/"8537.7"/"6830.16"/"19.19"/"48"/
6c2e498850a343d28e84c06ee199567b/7678/2025-09-26 18:30:00/2025-09-26 18:35:16/""/1/"D107"/"8529.5"/"6823.6"/"19.17"/"47"/
b2f85f5363f4499293590777e9c68d5d/7678/2025-09-26 18:15:00/2025-09-26 18:20:16/""/1/"D107"/"8536.1"/"6828.88"/"19.19"/"46"/
83a83a03dced49109205b349c4fd06bd/7678/2025-09-26 18:00:00/2025-09-26 18:05:11/""/1/"D107"/"8595.7"/"6876.56"/"19.32"/"45"/
72ac794f48bd4b27bd0e80aadfc45d25/7678/2025-09-26 17:45:00/2025-09-26 17:50:11/""/1/"D107"/"8587.0"/"6869.6"/"19.30"/"44"/
26265fe17f72452691836aaf38cd5779/7678/2025-09-26 17:30:00/2025-09-26 17:35:11/""/1/"D107"/"8544.1"/"6835.28"/"19.21"/"43"/
fe723be972ab4c7a94f0099278068cec/7678/2025-09-26 17:15:00/2025-09-26 17:20:16/""/1/"D107"/"8579.7"/"6863.76"/"19.29"/"42"/
4a988263272846bfbde07ca23202ec74/7678/2025-09-26 17:00:00/2025-09-26 17:05:11/""/1/"D107"/"8551.7"/"6841.36"/"19.22"/"41"/
f3538cd4944847c7b6ca7bc4b953d58b/7678/2025-09-26 16:45:00/2025-09-26 16:48:26/""/1/"D107"/"8546.4"/"6837.12"/"19.21"/"40"/
2310e6843fb548a19e82237d47dbb9eb/7678/2025-09-26 16:30:00/2025-09-26 16:35:06/""/1/"D107"/"8601.1"/"6880.88"/"19.33"/"39"/
03f685eb4aaa4a749c59710e28e990e2/0/2025-09-26 16:15:00/\N/""/0/"D107"/\N/\N/\N/\N/
f6c01847677d4df0baff9f9dc86c55a2/7678/2025-09-26 16:00:00/2025-09-26 16:05:21/""/1/"D107"/"8557.3"/"6845.84"/"19.23"/"37"/
5406fe53413a423e879be9dd063bd77f/7678/2025-09-26 15:45:00/2025-09-26 15:50:16/""/1/"D107"/"8554.0"/"6843.2"/"19.23"/"36"/
9baeeb5989234f9b95e66d337a5a7946/7678/2025-09-26 12:27:00/2025-09-26 12:32:11/""/1/"D107"/"8578.4"/"6862.72"/"19.28"/"35"/
64c10997387643279d9e6a2bec73494c/7678/2025-09-26 12:10:00/2025-09-26 12:15:11/""/1/"D107"/"8588.9"/"6871.12"/"19.31"/"34"/
e3ddb82ceb654b2fad3053594ad0d9c5/7678/2025-09-26 12:00:00/2025-09-26 12:05:16/""/1/"D107"/"8591.8"/"6873.44"/"19.31"/"33"/
9e2ee9a08f58420fbd446b9061dd77bd/7678/2025-09-26 11:38:37/2025-09-26 11:43:51/"admin"/1/"D107"/"8600.8"/"6880.64"/"19.33"/"32"/
6e84498f37ca48dfbfa33ad96a971ec9/7678/2025-09-26 11:20:23/2025-09-26 11:25:41/"admin"/1/"D107"/"8611.2"/"6888.96"/"19.36"/"31"/
4e51cf44093e492b9825be607ec5d763/7678/2025-09-26 10:53:53/2025-09-26 10:59:21/"admin"/1/"D107"/"8622.9"/"6898.32"/"19.38"/"30"/










































































































































































































































































































































































































































